Name,Total Population,state
Puerto Rico,3468963.0,72
Alabama,4850771.0,01
Alaska,738565.0,02
Arizona,6809946.0,04
Arkansas,2977944.0,05
California,38982847.0,06
Colorado,5436519.0,08
Connecticut,3594478.0,09
District of Columbia,672391.0,11
Delaware,943732.0,10
Florida,20278447.0,12
Georgia,10201635.0,13
Hawaii,1421658.0,15
Idaho,1657375.0,16
Illinois,12854526.0,17
Indiana,6614418.0,18
Iowa,3118102.0,19
Kansas,2903820.0,20
Kentucky,4424376.0,21
Maine,1330158.0,23
Louisiana,4663461.0,22
Massachusetts,6789319.0,25
Maryland,5996079.0,24
Michigan,9925568.0,26
Minnesota,5490726.0,27
Mississippi,2986220.0,28
Missouri,6075300.0,29
Montana,1029862.0,30
Nebraska,1893921.0,31
New Hampshire,1331848.0,33
Nevada,2887725.0,32
New Jersey,8960161.0,34
New Mexico,2084828.0,35
New York,19798228.0,36
North Carolina,10052564.0,37
North Dakota,745475.0,38
Ohio,11609756.0,39
Oklahoma,3896251.0,40
Oregon,4025127.0,41
Pennsylvania,12790505.0,42
Rhode Island,1056138.0,44
South Carolina,4893444.0,45
South Dakota,855444.0,46
Tennessee,6597381.0,47
Texas,27419612.0,48
Utah,2993941.0,49
Vermont,624636.0,50
Virginia,8365952.0,51
West Virginia,1836843.0,54
Washington,7169967.0,53
Wyoming,583200.0,56
Wisconsin,5763217.0,55
