Name,Total Population,state
Alabama,4841164.0,01
Alaska,736855.0,02
Arizona,6728577.0,04
Arkansas,2968472.0,05
California,38654206.0,06
Colorado,5359295.0,08
Connecticut,3588570.0,09
Delaware,934695.0,10
District of Columbia,659009.0,11
Florida,19934451.0,12
Georgia,10099320.0,13
Hawaii,1413673.0,15
Idaho,1635483.0,16
Illinois,12851684.0,17
Indiana,6589578.0,18
Iowa,3106589.0,19
Kansas,2898292.0,20
Kentucky,4411989.0,21
Louisiana,4645670.0,22
Maine,1329923.0,23
Maryland,5959902.0,24
Massachusetts,6742143.0,25
Michigan,9909600.0,26
Minnesota,5450868.0,27
Mississippi,2989192.0,28
Missouri,6059651.0,29
Montana,1023391.0,30
Nebraska,1881259.0,31
Nevada,2839172.0,32
New Hampshire,1327503.0,33
New Jersey,8915456.0,34
New Mexico,2082669.0,35
New York,19697457.0,36
North Carolina,9940828.0,37
North Dakota,736162.0,38
Ohio,11586941.0,39
Oklahoma,3875589.0,40
Oregon,3982267.0,41
Pennsylvania,12783977.0,42
Rhode Island,1054491.0,44
South Carolina,4834605.0,45
South Dakota,851058.0,46
Tennessee,6548009.0,47
Texas,26956435.0,48
Utah,2948427.0,49
Vermont,626249.0,50
Virginia,8310301.0,51
Washington,7073146.0,53
West Virginia,1846092.0,54
Wisconsin,5754798.0,55
Wyoming,583029.0,56
Puerto Rico,3529385.0,72
