Name,Total Population,state
Alabama,4817678.0,01
Alaska,728300.0,02
Arizona,6561516.0,04
Arkansas,2947036.0,05
California,38066920.0,06
Colorado,5197580.0,08
Connecticut,3592053.0,09
Delaware,917060.0,10
District of Columbia,633736.0,11
Florida,19361792.0,12
Georgia,9907756.0,13
Hawaii,1392704.0,15
Idaho,1599464.0,16
Illinois,12868747.0,17
Indiana,6542411.0,18
Iowa,3078116.0,19
Kansas,2882946.0,20
Kentucky,4383272.0,21
Louisiana,4601049.0,22
Maine,1328535.0,23
Maryland,5887776.0,24
Massachusetts,6657291.0,25
Michigan,9889024.0,26
Minnesota,5383661.0,27
Mississippi,2984345.0,28
Missouri,6028076.0,29
Montana,1006370.0,30
Nebraska,1855617.0,31
Nevada,2761584.0,32
New Hampshire,1321069.0,33
New Jersey,8874374.0,34
New Mexico,2080085.0,35
New York,19594330.0,36
North Carolina,9750405.0,37
North Dakota,704925.0,38
Ohio,11560380.0,39
Oklahoma,3818851.0,40
Oregon,3900343.0,41
Pennsylvania,12758729.0,42
Rhode Island,1053252.0,44
South Carolina,4727273.0,45
South Dakota,834708.0,46
Tennessee,6451365.0,47
Texas,26092033.0,48
Utah,2858111.0,49
Vermont,626358.0,50
Virginia,8185131.0,51
Washington,6899123.0,53
West Virginia,1853881.0,54
Wisconsin,5724692.0,55
Wyoming,575251.0,56
Puerto Rico,3638965.0,72
