Name,Total Population,state
Alabama,4777326.0,01
Alaska,711139.0,02
Arizona,6410979.0,04
Arkansas,2916372.0,05
California,37325068.0,06
Colorado,5042853.0,08
Connecticut,3572213.0,09
Delaware,900131.0,10
District of Columbia,605759.0,11
Florida,18885152.0,12
Georgia,9714569.0,13
Hawaii,1362730.0,15
Idaho,1567803.0,16
Illinois,12823860.0,17
Indiana,6485530.0,18
Iowa,3047646.0,19
Kansas,2851183.0,20
Kentucky,4340167.0,21
Louisiana,4529605.0,22
Maine,1329084.0,23
Maryland,5785496.0,24
Massachusetts,6560595.0,25
Michigan,9897264.0,26
Minnesota,5313081.0,27
Mississippi,2967620.0,28
Missouri,5982413.0,29
Montana,990785.0,30
Nebraska,1827306.0,31
Nevada,2704204.0,32
New Hampshire,1317474.0,33
New Jersey,8793888.0,34
New Mexico,2055287.0,35
New York,19398125.0,36
North Carolina,9544249.0,37
North Dakota,676253.0,38
Ohio,11533561.0,39
Oklahoma,3749005.0,40
Oregon,3836628.0,41
Pennsylvania,12699589.0,42
Rhode Island,1052471.0,44
South Carolina,4630351.0,45
South Dakota,815871.0,46
Tennessee,6353226.0,47
Texas,25208897.0,48
Utah,2766233.0,49
Vermont,625498.0,50
Virginia,8014955.0,51
Washington,6738714.0,53
West Virginia,1850481.0,54
Wisconsin,5687219.0,55
Wyoming,562803.0,56
Puerto Rico,3716727.0,72
