,cities_links
68,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Port Ludlow&state=WA
69,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Port Orchard&state=WA
70,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Port Townsend&state=WA
71,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Poulsbo&state=WA
72,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Preston&state=WA
73,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Prosser&state=WA
74,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Pullman&state=WA
75,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Puyallup&state=WA
76,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Redmond&state=WA
77,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Renton&state=WA
78,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Richland&state=WA
79,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Ritzville&state=WA
80,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Seatac&state=WA
81,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Seattle&state=WA
82,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Sequim&state=WA
83,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Shelton&state=WA
84,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Silverdale&state=WA
85,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Snoqualmie&state=WA
86,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Spokane&state=WA
87,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Stevenson&state=WA
88,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Sunnyside&state=WA
89,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Tacoma&state=WA
90,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Toppenish&state=WA
91,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Tucson&state=WA
92,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Tukwila&state=WA
93,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Tumwater&state=WA
94,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Union Gap&state=WA
95,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Vancouver&state=WA
96,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Veradale&state=WA
97,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Walla Walla&state=WA
98,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Wapato&state=WA
99,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Wenatchee&state=WA
100,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Winthrop&state=WA
101,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Woodinville&state=WA
102,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Woodland&state=WA
103,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Yakima&state=WA
104,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Zillah&state=WA
105,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Belgrade&state=MT
106,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Big Sky&state=MT
107,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Big Timber&state=MT
108,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Billings&state=MT
109,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Bozeman&state=MT
110,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Browning&state=MT
111,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Butte&state=MT
112,https://www.homelessshelterdirectory.org/cgi-bin/id/city.cgi?city=Colstrip&state=MT
