Name,Total Population,state
Alabama,4830620.0,01
Alaska,733375.0,02
Arizona,6641928.0,04
Arkansas,2958208.0,05
California,38421464.0,06
Colorado,5278906.0,08
Connecticut,3593222.0,09
Delaware,926454.0,10
District of Columbia,647484.0,11
Florida,19645772.0,12
Georgia,10006693.0,13
Hawaii,1406299.0,15
Idaho,1616547.0,16
Illinois,12873761.0,17
Indiana,6568645.0,18
Iowa,3093526.0,19
Kansas,2892987.0,20
Kentucky,4397353.0,21
Louisiana,4625253.0,22
Maine,1329100.0,23
Maryland,5930538.0,24
Massachusetts,6705586.0,25
Michigan,9900571.0,26
Minnesota,5419171.0,27
Mississippi,2988081.0,28
Missouri,6045448.0,29
Montana,1014699.0,30
Nebraska,1869365.0,31
Nevada,2798636.0,32
New Hampshire,1324201.0,33
New Jersey,8904413.0,34
New Mexico,2084117.0,35
New York,19673174.0,36
North Carolina,9845333.0,37
North Dakota,721640.0,38
Ohio,11575977.0,39
Oklahoma,3849733.0,40
Oregon,3939233.0,41
Pennsylvania,12779559.0,42
Rhode Island,1053661.0,44
South Carolina,4777576.0,45
South Dakota,843190.0,46
Tennessee,6499615.0,47
Texas,26538614.0,48
Utah,2903379.0,49
Vermont,626604.0,50
Virginia,8256630.0,51
Washington,6985464.0,53
West Virginia,1851420.0,54
Wisconsin,5742117.0,55
Wyoming,579679.0,56
Puerto Rico,3583073.0,72
